0     0 -0.5 1 82950.97      0 -0.5 2 5184.688      0 -0.5 3 1024.215      0 -0.5 4 324.1024      0 -0.5 5 132.7705      0 0.5 1 82950.97      0 0.5 2 5184.688      0 0.5 3 1024.215      0 0.5 4 324.1024      0 0.5 5 132.7705      1 -0.5 2 5184.235      1 -0.5 3 1024.124      1 -0.5 4 324.0735      1 -0.5 5 132.7586      1 0.5 2 5184.235      1 0.5 3 1024.124      1 0.5 4 324.0735      1 0.5 5 132.7586      2 -0.5 3 1024.037      2 -0.5 4 324.0382      2 -0.5 5 132.7422      2 0.5 3 1024.037      2 0.5 4 324.0382      2 0.5 5 132.7422      3 -0.5 4 324.0105      3 -0.5 5 132.7259      3 0.5 4 324.0105      3 0.5 5 132.7259      4 -0.5 5 132.7144      4 0.5 5 132.7144      

1     0 -0.5 1 85.81251      0 -0.5 2 28.48018      0 -0.5 3 239.6734      0 -0.5 4 442.3462      0 -0.5 5 567.5572      0 0.5 1 85.81251      0 0.5 2 28.48018      0 0.5 3 239.6734      0 0.5 4 442.3462      0 0.5 5 567.5572      1 -0.5 2 10.82138      1 -0.5 3 215.1434      1 -0.5 4 428.3294      1 -0.5 5 559.5723      1 0.5 2 10.82138      1 0.5 3 215.1434      1 0.5 4 428.3294      1 0.5 5 559.5723      2 -0.5 3 175.6845      2 -0.5 4 406.644      2 -0.5 5 547.5837      2 0.5 3 175.6845      2 0.5 4 406.644      2 0.5 5 547.5837      3 -0.5 4 388.9138      3 -0.5 5 538.4547      3 0.5 4 388.9138      3 0.5 5 538.4547      4 -0.5 5 537.6987      4 0.5 5 537.6987      

2     0 -0.5 1 9.702741      0 -0.5 2 37.31086      0 -0.5 3 159.317      0 -0.5 4 259.721      0 -0.5 5 314.5253      0 0.5 1 9.702741      0 0.5 2 37.31086      0 0.5 3 159.317      0 0.5 4 259.721      0 0.5 5 314.5253      1 -0.5 2 25.45643      1 -0.5 3 154.0894      1 -0.5 4 258.3152      1 -0.5 5 313.8743      1 0.5 2 25.45643      1 0.5 3 154.0894      1 0.5 4 258.3152      1 0.5 5 313.8743      2 -0.5 3 144.9934      2 -0.5 4 255.5061      2 -0.5 5 312.3364      2 0.5 3 144.9934      2 0.5 4 255.5061      2 0.5 5 312.3364      3 -0.5 4 258.826      3 -0.5 5 313.3247      3 0.5 4 258.826      3 0.5 5 313.3247      4 -0.5 5 315.5664      4 0.5 5 315.5664      

3     0 -0.5 1 0.3964898      0 -0.5 2 38.68044      0 -0.5 3 100.0046      0 -0.5 4 148.4035      0 -0.5 5 172.5438      0 0.5 1 0.3964898      0 0.5 2 38.68044      0 0.5 3 100.0046      0 0.5 4 148.4035      0 0.5 5 172.5438      1 -0.5 2 32.51673      1 -0.5 3 101.5992      1 -0.5 4 150.0642      1 -0.5 5 173.4521      1 0.5 2 32.51673      1 0.5 3 101.5992      1 0.5 4 150.0642      1 0.5 5 173.4521      2 -0.5 3 107.7136      2 -0.5 4 152.0995      2 -0.5 5 174.4073      2 0.5 3 107.7136      2 0.5 4 152.0995      2 0.5 5 174.4073      3 -0.5 4 157.7342      3 -0.5 5 176.9504      3 0.5 4 157.7342      3 0.5 5 176.9504      4 -0.5 5 177.2574      4 0.5 5 177.2574      

4     0 -0.5 1 7.71591      0 -0.5 2 36.87181      0 -0.5 3 61.40606      0 -0.5 4 84.30628      0 -0.5 5 95.3974      0 0.5 1 7.71591      0 0.5 2 36.87181      0 0.5 3 61.40606      0 0.5 4 84.30628      0 0.5 5 95.3974      1 -0.5 2 33.98526      1 -0.5 3 64.09318      1 -0.5 4 86.24478      1 -0.5 5 96.31957      1 0.5 2 33.98526      1 0.5 3 64.09318      1 0.5 4 86.24478      1 0.5 5 96.31957      2 -0.5 3 75.0687      2 -0.5 4 89.26978      2 -0.5 5 97.55767      2 0.5 3 75.0687      2 0.5 4 89.26978      2 0.5 5 97.55767      3 -0.5 4 92.09418      3 -0.5 5 99.16489      3 0.5 4 92.09418      3 0.5 5 99.16489      4 -0.5 5 98.95192      4 0.5 5 98.95192      

5     0 -0.5 1 14.26794      0 -0.5 2 32.89593      0 -0.5 3 38.87166      0 -0.5 4 48.44375      0 -0.5 5 53.52197      0 0.5 1 14.26794      0 0.5 2 32.89593      0 0.5 3 38.87166      0 0.5 4 48.44375      0 0.5 5 53.52197      1 -0.5 2 31.56337      1 -0.5 3 40.4413      1 -0.5 4 50.08441      1 -0.5 5 54.20328      1 0.5 2 31.56337      1 0.5 3 40.4413      1 0.5 4 50.08441      1 0.5 5 54.20328      2 -0.5 3 49.29717      2 -0.5 4 53.13372      2 -0.5 5 54.88719      2 0.5 3 49.29717      2 0.5 4 53.13372      2 0.5 5 54.88719      3 -0.5 4 53.48758      3 -0.5 5 55.72527      3 0.5 4 53.48758      3 0.5 5 55.72527      4 -0.5 5 55.79191      4 0.5 5 55.79191      

6     0 -0.5 1 13.80665      0 -0.5 2 24.082      0 -0.5 3 24.25428      0 -0.5 4 28.25479      0 -0.5 5 28.66606      0 0.5 1 13.80665      0 0.5 2 24.082      0 0.5 3 24.25428      0 0.5 4 28.25479      0 0.5 5 28.66606      1 -0.5 2 23.49563      1 -0.5 3 27.58622      1 -0.5 4 27.60341      1 -0.5 5 27.36824      1 0.5 2 23.49563      1 0.5 3 27.58622      1 0.5 4 27.60341      1 0.5 5 27.36824      2 -0.5 3 29.15799      2 -0.5 4 29.01552      2 -0.5 5 28.4395      2 0.5 3 29.15799      2 0.5 4 29.01552      2 0.5 5 28.4395      3 -0.5 4 29.74125      3 -0.5 5 29.32655      3 0.5 4 29.74125      3 0.5 5 29.32655      4 -0.5 5 30.17683      4 0.5 5 30.17683      

7     0 -0.5 1 15.14668      0 -0.5 2 21.11347      0 -0.5 3 18.60513      0 -0.5 4 10.82126      0 -0.5 5 10.4209      0 0.5 1 15.14668      0 0.5 2 21.11347      0 0.5 3 18.60513      0 0.5 4 10.82126      0 0.5 5 10.4209      1 -0.5 2 20.86199      1 -0.5 3 14.07605      1 -0.5 4 11.79447      1 -0.5 5 11.52589      1 0.5 2 20.86199      1 0.5 3 14.07605      1 0.5 4 11.79447      1 0.5 5 11.52589      2 -0.5 3 10.87315      2 -0.5 4 10.45714      2 -0.5 5 10.4739      2 0.5 3 10.87315      2 0.5 4 10.45714      2 0.5 5 10.4739      3 -0.5 4 10.91468      3 -0.5 5 10.49573      3 0.5 4 10.91468      3 0.5 5 10.49573      4 -0.5 5 10.95988      4 0.5 5 10.95988      

8     0 -0.5 1 0.827864      0 -0.5 2 2.510252      0 -0.5 3 4.059619      0 -0.5 4 6.296844      0 -0.5 5 6.002966      0 0.5 1 0.827864      0 0.5 2 2.510252      0 0.5 3 4.059619      0 0.5 4 6.296844      0 0.5 5 6.002966      1 -0.5 2 2.384644      1 -0.5 3 4.333002      1 -0.5 4 6.300554      1 -0.5 5 6.018102      1 0.5 2 2.384644      1 0.5 3 4.333002      1 0.5 4 6.300554      1 0.5 5 6.018102      2 -0.5 3 6.307512      2 -0.5 4 6.036104      2 -0.5 5 5.944911      2 0.5 3 6.307512      2 0.5 4 6.036104      2 0.5 5 5.944911      3 -0.5 4 6.317033      3 -0.5 5 6.056717      3 0.5 4 6.317033      3 0.5 5 6.056717      4 -0.5 5 6.328416      4 0.5 5 6.328416      

