Z    ekin     epot  e-e  sum  err
1 0.713085 -1.80021 0 -1.08713 2.69058e-06
2 2.91594 -8.11714 0.755668 -4.44553 2.858e-06
3 7.02956 -20.0825 2.3376 -10.7153 2.0853e-06
4 13.3248 -38.4851 4.85183 -20.3085 1.89078e-06
5 22.0168 -63.9577 8.38886 -33.5521 1.98251e-06
6 33.2807 -97.0138 13.0175 -50.7156 2.0425e-06
7 47.2728 -138.12 18.8095 -72.0373 2.26854e-06
8 64.137 -187.695 25.8218 -97.7361 2.44048e-06
9 84.0048 -246.121 34.1056 -128.011 2.55191e-06
10 106.996 -313.753 43.7133 -163.044 2.90085e-06
11 133.22 -390.918 54.6957 -203.002 3.22895e-06
12 162.77 -477.89 67.09 -248.03 3.16972e-06
13 195.742 -574.961 80.9428 -298.277 3.41385e-06
14 232.226 -682.39 96.2854 -353.879 3.62914e-06
15 272.316 -800.455 113.161 -414.978 3.81465e-06
16 316.092 -929.393 131.606 -481.695 3.97021e-06
17 363.643 -1069.45 151.643 -554.165 4.09662e-06
18 415.026 -1220.82 173.314 -632.48 4.67158e-06
19 470.321 -1383.73 196.649 -716.761 4.74949e-06
20 529.594 -1558.38 221.68 -807.109 4.79854e-06
21 592.92 -1744.99 248.434 -903.637 4.82091e-06
22 660.367 -1943.75 276.94 -1006.45 5.36699e-06
23 732 -2154.85 307.211 -1115.64 5.33953e-06
24 807.868 -2378.46 339.301 -1231.29 5.89111e-06
25 888.038 -2614.75 373.207 -1353.5 5.81275e-06
26 972.565 -2863.89 408.968 -1482.36 5.72067e-06
27 1061.5 -3126.08 446.623 -1617.95 6.29962e-06
28 1154.92 -3401.45 486.166 -1760.36 6.27276e-06
29 1252.87 -3690.19 527.635 -1909.68 6.96e-06
30 1355.39 -3992.44 571.052 -2065.99 6.92253e-06
32 1574.37 -4638.05 663.818 -2399.85 8.41858e-06
34 1812.27 -5339.47 764.636 -2762.56 9.07418e-06
36 2069.47 -6097.84 873.647 -3154.72 9.65625e-06
38 2346.34 -6914.26 991.05 -3576.87 1.01538e-05
40 2643.22 -7789.73 1116.95 -4029.56 1.05598e-05
42 2960.46 -8725.3 1251.52 -4513.31 1.2108e-05
44 3298.4 -9721.97 1394.93 -5028.63 1.23668e-05
46 3657.35 -10780.6 1547.26 -5576 1.25383e-05
48 4037.62 -11902.2 1708.67 -6155.91 1.40483e-05
50 4439.52 -13087.6 1879.28 -6768.8 1.40651e-05
52 4863.34 -14337.7 2059.24 -7415.14 1.55742e-05
54 5309.35 -15653.4 2248.64 -8095.35 1.54322e-05

10 106.996 -313.754 43.7141 -163.044 2.9008e-06
20 529.593 -1558.39 221.685 -807.108 4.79846e-06
10 106.996 -313.754 43.7141 -163.044 2.9008e-06
20 529.593 -1558.39 221.685 -807.108 4.79846e-06
20 529.594 -1558.38 221.68 -807.109 4.79854e-06
